transaction_id,branch_id,product_id,product_name,category,price,quantity,total_amount,date,time
T000119,B001,P020,Curry Powder 100g,Spices,204.63,3,613.89,2024-07-18,12:28:39
T000120,B003,P007,Sunlight Soap Bar,Personal Care,156.04,1,156.04,2024-05-12,16:47:45
T000121,B003,P023,Samaposha 200g,Breakfast Cereals,293.31,1,293.31,2024-04-04,19:55:15
T000122,B004,P012,Nescafe Coffee 200g,Beverages,1539.36,5,7696.8,2024-10-21,14:51:17
T000123,B004,P004,Chicken Meat 1kg,Meat,1257.91,3,3773.73,2025-05-18,10:58:57
T000124,B005,P005,Local Apples 1kg,Fruits,628.94,4,2515.76,2024-01-01,17:01:16
T000125,B005,P004,Chicken Meat 1kg,Meat,1238.93,2,2477.86,2024-03-30,09:05:27
T000126,B004,P006,Tomatoes 1kg,Vegetables,295.39,7,2067.73,2024-09-19,12:30:12
T000127,B001,P013,Prima Pasta 500g,Pasta & Noodles,395.19,1,395.19,2024-07-07,20:16:21
T000128,B003,P012,Nescafe Coffee 200g,Beverages,1438.39,5,7191.95,2024-01-24,10:47:12
T000129,B001,P024,Canned Fish 425g,Canned Goods,615.1,4,2460.4,2024-08-13,13:50:41
T000130,B004,P003,Fresh Milk 1L,Dairy,442.12,1,442.12,2024-08-31,19:53:56
T000131,B004,P002,White Bread Loaf,Bakery,248.08,5,1240.4,2024-04-10,21:57:28
T000132,B003,P024,Canned Fish 425g,Canned Goods,609.25,5,3046.25,2024-06-05,17:43:30
T000133,B001,P025,Sausages 250g,Processed Meat,762.31,4,3049.24,2025-03-31,13:50:16
T000134,B003,P001,Keeri Samba Rice 5kg,Grains,1477.38,1,1477.38,2024-07-01,08:18:35
T000135,B004,P004,Chicken Meat 1kg,Meat,1245.55,5,6227.75,2024-03-21,19:05:50
T000136,B003,P025,Sausages 250g,Processed Meat,744.75,3,2234.25,2024-08-16,08:25:52
T000137,B001,P016,Dhal 500g,Pulses,417.45,1,417.45,2025-03-16,20:40:45
T000138,B004,P008,Head & Shoulders Shampoo 400ml,Personal Care,1171.76,1,1171.76,2025-03-12,12:58:36
T000139,B005,P025,Sausages 250g,Processed Meat,745.08,1,745.08,2024-12-04,14:30:20
T000140,B004,P011,Dilmah Tea Bags 100ct,Beverages,709.65,4,2838.6,2024-03-17,11:07:53
T000141,B003,P006,Tomatoes 1kg,Vegetables,287.13,2,574.26,2025-03-04,09:10:01
T000142,B002,P001,Keeri Samba Rice 5kg,Grains,1480.12,3,4440.36,2024-12-06,20:13:15
T000143,B004,P003,Fresh Milk 1L,Dairy,454.65,4,1818.6,2024-01-27,18:25:31
T000144,B003,P011,Dilmah Tea Bags 100ct,Beverages,722.23,4,2888.92,2025-05-02,15:36:00
T000145,B001,P014,Anchor Cheese 200g,Dairy,883.5,1,883.5,2024-03-18,09:31:42
T000146,B004,P006,Tomatoes 1kg,Vegetables,285.66,3,856.98,2024-09-18,11:55:43
T000147,B005,P005,Local Apples 1kg,Fruits,572.34,3,1717.02,2024-10-22,13:33:01
T000148,B005,P013,Prima Pasta 500g,Pasta & Noodles,381.33,2,762.66,2024-03-02,08:24:02
T000149,B001,P024,Canned Fish 425g,Canned Goods,603.81,2,1207.62,2024-08-01,09:08:25
T000150,B004,P005,Local Apples 1kg,Fruits,610.54,5,3052.7,2025-04-09,21:02:27
T000151,B001,P016,Dhal 500g,Pulses,405.51,3,1216.53,2024-09-29,16:28:37
T000152,B004,P008,Head & Shoulders Shampoo 400ml,Personal Care,1205.99,2,2411.98,2025-05-23,20:45:27
T000153,B002,P013,Prima Pasta 500g,Pasta & Noodles,402.58,6,2415.48,2025-02-12,08:30:09
T000154,B003,P010,Sugar 1kg,Staples,347.06,8,2776.48,2024-07-03,14:45:04
T000155,B001,P019,Koththu Mix,Ready Meals,509.62,1,509.62,2024-04-19,13:20:17
T000156,B001,P008,Head & Shoulders Shampoo 400ml,Personal Care,1243.78,1,1243.78,2024-01-15,16:24:26
T000157,B004,P013,Prima Pasta 500g,Pasta & Noodles,417.09,2,834.18,2024-04-15,12:42:31
T000158,B003,P006,Tomatoes 1kg,Vegetables,312.79,1,312.79,2025-04-22,16:08:45
T000159,B002,P017,Red Onions 500g,Vegetables,157.32,1,157.32,2024-04-03,15:49:34
T000160,B003,P016,Dhal 500g,Pulses,416.49,1,416.49,2024-11-07,08:34:50
T000161,B002,P025,Sausages 250g,Processed Meat,745.69,4,2982.76,2024-07-15,12:19:29
T000162,B002,P021,Coca-Cola 1.5L,Soft Drinks,354.68,4,1418.72,2024-03-26,12:14:17
T000163,B005,P013,Prima Pasta 500g,Pasta & Noodles,399.76,5,1998.8,2024-06-10,17:12:12
T000164,B001,P016,Dhal 500g,Pulses,392.45,2,784.9,2024-10-06,20:00:46
T000165,B004,P016,Dhal 500g,Pulses,391.02,1,391.02,2025-01-30,17:31:56
T000166,B003,P009,Coconut Oil 1L,Cooking Oil,775.29,1,775.29,2025-04-30,11:52:22
T000167,B004,P011,Dilmah Tea Bags 100ct,Beverages,719.12,3,2157.36,2024-07-31,16:30:53
T000168,B005,P016,Dhal 500g,Pulses,396.88,3,1190.64,2025-05-29,20:42:44
T000169,B002,P023,Samaposha 200g,Breakfast Cereals,272.42,1,272.42,2024-05-21,17:58:07
T000170,B001,P025,Sausages 250g,Processed Meat,738.87,2,1477.74,2024-07-14,12:48:31
T000171,B003,P022,Munchee Biscuits 125g,Snacks,117.75,3,353.25,2025-01-11,13:50:51
T000172,B001,P014,Anchor Cheese 200g,Dairy,906.78,3,2720.34,2024-03-25,20:06:46
T000173,B005,P022,Munchee Biscuits 125g,Snacks,120.09,3,360.27,2024-04-23,16:56:09
T000174,B004,P022,Munchee Biscuits 125g,Snacks,115.17,3,345.51,2024-07-28,09:55:01
T000175,B002,P004,Chicken Meat 1kg,Meat,1243.25,4,4973.0,2024-05-19,21:15:09
T000176,B001,P021,Coca-Cola 1.5L,Soft Drinks,367.21,4,1468.84,2024-06-02,19:26:09
T000177,B001,P012,Nescafe Coffee 200g,Beverages,1536.34,1,1536.34,2024-04-16,20:13:00
T000178,B001,P005,Local Apples 1kg,Fruits,575.86,2,1151.72,2024-10-30,09:04:26
T000179,B004,P005,Local Apples 1kg,Fruits,606.75,4,2427.0,2024-12-27,16:00:00
T000180,B001,P020,Curry Powder 100g,Spices,195.27,3,585.81,2025-03-02,11:33:04
T000181,B001,P019,Koththu Mix,Ready Meals,501.52,6,3009.12,2025-05-13,12:25:53
T000182,B003,P022,Munchee Biscuits 125g,Snacks,121.53,3,364.59,2024-03-31,13:20:52
T000183,B004,P005,Local Apples 1kg,Fruits,606.58,5,3032.9,2025-04-30,12:23:59
T000184,B004,P018,Eggs (Brown) 6 pack,Dairy & Eggs,295.74,3,887.22,2024-08-01,15:16:37
T000185,B005,P015,Thalapath Fish 1kg,Seafood,1786.49,3,5359.47,2024-06-16,10:34:19
T000186,B003,P013,Prima Pasta 500g,Pasta & Noodles,400.62,2,801.24,2024-04-28,18:48:15
T000187,B003,P005,Local Apples 1kg,Fruits,586.69,1,586.69,2024-03-30,18:14:31
T000188,B002,P005,Local Apples 1kg,Fruits,620.55,1,620.55,2024-06-05,11:46:11
T000189,B003,P020,Curry Powder 100g,Spices,191.67,3,575.01,2024-04-05,19:04:14
T000190,B002,P001,Keeri Samba Rice 5kg,Grains,1496.22,4,5984.88,2024-10-26,11:52:57
T000191,B003,P022,Munchee Biscuits 125g,Snacks,121.53,3,364.59,2024-06-02,14:45:04
T000192,B002,P012,Nescafe Coffee 200g,Beverages,1481.54,1,1481.54,2024-02-28,18:57:08
T000193,B001,P003,Fresh Milk 1L,Dairy,446.89,2,893.78,2025-03-23,18:04:27
T000194,B002,P021,Coca-Cola 1.5L,Soft Drinks,361.03,1,361.03,2024-07-10,15:19:39
T000195,B002,P008,Head & Shoulders Shampoo 400ml,Personal Care,1219.64,1,1219.64,2025-05-28,17:57:10
T000196,B001,P012,Nescafe Coffee 200g,Beverages,1439.95,1,1439.95,2025-04-07,19:15:07
T000197,B003,P013,Prima Pasta 500g,Pasta & Noodles,381.4,2,762.8,2025-05-23,20:23:31
T000198,B005,P010,Sugar 1kg,Staples,339.79,2,679.58,2025-03-20,18:11:14
T000199,B005,P020,Curry Powder 100g,Spices,201.62,2,403.24,2024-01-29,15:42:35
T000200,B004,P010,Sugar 1kg,Staples,339.92,1,339.92,2024-02-25,17:12:29
T000201,B001,P003,Fresh Milk 1L,Dairy,460.51,4,1842.04,2024-01-08,10:55:04
T000202,B003,P006,Tomatoes 1kg,Vegetables,295.94,5,1479.7,2024-11-19,18:11:57
T000203,B003,P010,Sugar 1kg,Staples,363.74,4,1454.96,2024-10-26,18:30:19
T000204,B002,P008,Head & Shoulders Shampoo 400ml,Personal Care,1149.91,6,6899.46,2024-02-09,12:54:26
T000205,B003,P018,Eggs (Brown) 6 pack,Dairy & Eggs,288.73,1,288.73,2025-05-21,11:31:58
T000206,B004,P009,Coconut Oil 1L,Cooking Oil,770.69,2,1541.38,2024-05-09,11:48:26
T000207,B002,P013,Prima Pasta 500g,Pasta & Noodles,394.29,4,1577.16,2025-05-01,14:31:03
T000208,B003,P009,Coconut Oil 1L,Cooking Oil,830.67,3,2492.01,2024-06-25,19:50:55
T000209,B001,P005,Local Apples 1kg,Fruits,604.92,1,604.92,2025-03-17,13:01:20
T000210,B002,P008,Head & Shoulders Shampoo 400ml,Personal Care,1141.18,4,4564.72,2025-03-13,12:58:01
T000211,B004,P009,Coconut Oil 1L,Cooking Oil,828.37,1,828.37,2024-02-15,10:17:41
T000212,B001,P003,Fresh Milk 1L,Dairy,455.06,1,455.06,2024-08-01,10:28:43
T000213,B004,P008,Head & Shoulders Shampoo 400ml,Personal Care,1155.82,1,1155.82,2024-10-07,16:27:43
T000214,B005,P016,Dhal 500g,Pulses,399.93,2,799.86,2024-05-26,18:20:49
T000215,B002,P014,Anchor Cheese 200g,Dairy,875.11,4,3500.44,2025-03-12,10:56:36
T000216,B005,P009,Coconut Oil 1L,Cooking Oil,811.48,3,2434.44,2024-08-14,21:54:20
T000217,B004,P019,Koththu Mix,Ready Meals,492.5,3,1477.5,2024-02-23,21:35:44
T000218,B004,P008,Head & Shoulders Shampoo 400ml,Personal Care,1204.94,2,2409.88,2024-12-24,13:59:53
T000219,B001,P007,Sunlight Soap Bar,Personal Care,156.18,5,780.9,2025-04-05,19:48:40
T000220,B001,P012,Nescafe Coffee 200g,Beverages,1556.29,3,4668.87,2024-08-29,21:52:43
T000221,B001,P003,Fresh Milk 1L,Dairy,453.36,1,453.36,2024-10-08,12:13:02
T000222,B002,P016,Dhal 500g,Pulses,391.12,4,1564.48,2024-10-14,17:35:06
T000223,B004,P022,Munchee Biscuits 125g,Snacks,116.11,4,464.44,2025-04-11,12:55:40
T000224,B001,P023,Samaposha 200g,Breakfast Cereals,267.8,4,1071.2,2024-10-23,16:46:14
T000225,B001,P008,Head & Shoulders Shampoo 400ml,Personal Care,1228.89,3,3686.67,2024-12-21,19:29:12
T000226,B005,P014,Anchor Cheese 200g,Dairy,890.01,4,3560.04,2024-07-10,15:29:06
T000227,B003,P015,Thalapath Fish 1kg,Seafood,1714.3,4,6857.2,2024-11-13,17:53:22
T000228,B001,P016,Dhal 500g,Pulses,385.31,1,385.31,2024-07-05,14:35:57
T000229,B005,P009,Coconut Oil 1L,Cooking Oil,811.44,4,3245.76,2024-03-13,13:02:08
T000230,B003,P004,Chicken Meat 1kg,Meat,1204.2,2,2408.4,2025-03-13,09:14:36
T000231,B001,P007,Sunlight Soap Bar,Personal Care,152.01,1,152.01,2024-08-06,10:04:08
T000232,B004,P025,Sausages 250g,Processed Meat,730.95,4,2923.8,2024-09-17,18:58:16
T000233,B001,P007,Sunlight Soap Bar,Personal Care,145.23,1,145.23,2024-11-11,10:32:32
T000234,B002,P016,Dhal 500g,Pulses,410.06,3,1230.18,2025-02-25,14:42:42
T000235,B005,P024,Canned Fish 425g,Canned Goods,626.47,2,1252.94,2024-02-06,14:52:01
T000236,B004,P009,Coconut Oil 1L,Cooking Oil,768.61,1,768.61,2024-02-18,19:42:52
T000237,B001,P014,Anchor Cheese 200g,Dairy,916.46,3,2749.38,2024-07-26,14:28:05
T000238,B003,P025,Sausages 250g,Processed Meat,756.38,2,1512.76,2024-11-12,14:16:51
T000239,B001,P021,Coca-Cola 1.5L,Soft Drinks,337.65,2,675.3,2024-10-17,13:22:56
T000240,B004,P016,Dhal 500g,Pulses,381.24,4,1524.96,2024-01-14,15:31:38
T000241,B002,P003,Fresh Milk 1L,Dairy,443.02,1,443.02,2024-10-04,20:02:02
T000242,B001,P013,Prima Pasta 500g,Pasta & Noodles,413.05,3,1239.15,2025-02-25,17:47:07
T000243,B004,P014,Anchor Cheese 200g,Dairy,914.09,1,914.09,2025-02-11,10:43:52
T000244,B001,P002,White Bread Loaf,Bakery,256.75,3,770.25,2024-08-22,18:43:24
T000245,B002,P008,Head & Shoulders Shampoo 400ml,Personal Care,1218.48,3,3655.44,2024-11-15,19:00:49
T000246,B003,P017,Red Onions 500g,Vegetables,145.74,5,728.7,2025-01-09,16:25:56
T000247,B004,P017,Red Onions 500g,Vegetables,153.8,2,307.6,2024-04-01,16:05:30
T000248,B004,P025,Sausages 250g,Processed Meat,726.45,1,726.45,2025-04-20,12:33:17
T000249,B002,P015,Thalapath Fish 1kg,Seafood,1778.17,3,5334.51,2024-10-31,20:00:25
T000250,B005,P001,Keeri Samba Rice 5kg,Grains,1477.08,1,1477.08,2025-05-01,15:34:45
T000251,B002,P021,Coca-Cola 1.5L,Soft Drinks,338.38,3,1015.14,2024-01-23,12:17:26
T000252,B005,P017,Red Onions 500g,Vegetables,155.76,1,155.76,2025-01-15,21:57:00
T000253,B004,P023,Samaposha 200g,Breakfast Cereals,285.78,3,857.34,2024-12-07,09:48:20
T000254,B004,P008,Head & Shoulders Shampoo 400ml,Personal Care,1170.91,10,11709.1,2025-05-02,11:11:38
T000255,B004,P015,Thalapath Fish 1kg,Seafood,1855.9,3,5567.7,2025-05-25,20:50:36
T000256,B004,P008,Head & Shoulders Shampoo 400ml,Personal Care,1197.5,3,3592.5,2024-06-08,19:11:54
T000257,B002,P021,Coca-Cola 1.5L,Soft Drinks,365.67,10,3656.7,2025-01-30,10:41:31
T000258,B001,P010,Sugar 1kg,Staples,344.06,2,688.12,2024-11-06,15:32:01
T000259,B004,P021,Coca-Cola 1.5L,Soft Drinks,358.36,3,1075.08,2024-12-22,08:41:23
T000260,B003,P004,Chicken Meat 1kg,Meat,1157.54,1,1157.54,2024-12-08,20:51:33
T000261,B003,P012,Nescafe Coffee 200g,Beverages,1532.48,3,4597.44,2025-02-22,19:16:35
T000262,B003,P003,Fresh Milk 1L,Dairy,467.31,6,2803.86,2024-06-24,10:47:54
T000263,B003,P002,White Bread Loaf,Bakery,241.45,2,482.9,2025-01-27,18:56:55
T000264,B003,P017,Red Onions 500g,Vegetables,153.05,1,153.05,2024-11-25,10:22:33
T000265,B003,P012,Nescafe Coffee 200g,Beverages,1477.92,7,10345.44,2024-02-03,17:09:35
T000266,B002,P001,Keeri Samba Rice 5kg,Grains,1433.51,2,2867.02,2024-08-08,19:14:25
T000267,B004,P010,Sugar 1kg,Staples,359.28,2,718.56,2024-06-26,10:58:10
T000268,B003,P008,Head & Shoulders Shampoo 400ml,Personal Care,1187.58,2,2375.16,2024-10-21,19:54:23
T000269,B004,P024,Canned Fish 425g,Canned Goods,574.77,3,1724.31,2024-10-26,20:16:28
T000270,B002,P001,Keeri Samba Rice 5kg,Grains,1487.09,4,5948.36,2024-04-23,16:32:21
T000271,B002,P010,Sugar 1kg,Staples,340.0,2,680.0,2025-02-25,21:32:31
T000272,B005,P001,Keeri Samba Rice 5kg,Grains,1553.06,3,4659.18,2024-11-10,10:58:45
